jenis_kejahatan,crime_total
Separatisme,0
Sistem Budi Daya Pertanian Berkelanjutan,0
suap,0
"Tanpa izin Polri (Pegawai Negeri yang berhak), mengadakan pesta umum dan pawai di jalan umum.",0
Tentang merintangi jalan,0
Terhadap Keamanan Negara / Makar,0
Terhadap Kemanan Negara/Makar,0
Tidak Membayar Upah / Upah di Bawah Minimum,0
Tidak Menaati Tata Ruang,0
Tidak menurut perintah petunjuk Polri pada waktu ada pesta/arak-arakan di jalan umum.,0
Tindakan Asusila,0
Unjuk Rasa Anarkis,0
Usaha Perikanan Tanpa Perizinan Berusaha,0
Window Dressing Bank,0
Zina (Adultery),0
Zina (Perzinaan),0
